Article ID,Reference,MWP technique,Relevance for TC MWP,Classification category,Application axis,Test methodology axis,Data analysis type
P52,"Norambuena-Contreras, J. and Castro-Fresno, D. and Vega-Zamanillo, A. and Celaya, M. and Lombillo-Vozmediano, I. (2010)",UT only,High,MWP + conventional tests (no formal comparison),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Frequency domain; analytical (closed-form)
P53,"Apaza Apaza, F.R. and Vázquez, V.F. and Paje, S.E. and Gulisano, F. and Rodríguez, L.S. and Gallego, J. (2025)",IRT only,Medium,Standalone MWP study,LVE stiffness / complex modulus characterization (+ QC),IRT resonance,Domain not reported; method not reported
P55,"Al-Zajrawi, A.K. and Mashkur, B.T. and Al-Zahra, Z.A. (2020)",UT only,Low,Standalone MWP study,LVE stiffness / complex modulus characterization,UT (configuration not reported),Domain not reported; method not reported
P56,"Grilli, V. and Grilli, A. and Graziani, A. and Jaczewski, M. (2024)",UT only,Low,MWP + conventional tests (no formal comparison),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P59,"Benaboud, S. and Takarli, M. and Allou, F. and Dubois, F. and Nicolaï, A. and Pouteau, B. and Beghin, A. (2022)",UT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P/S-waves),Time domain; analytical (closed-form)
P60,"Medina, J.R. and Underwood, B.S. and Mamlouk, M. (2018)",UT only,Medium,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P63,"Yadav Shivpal, Kusam Abhilash and Tayebali Akhtarhusein A (2021)",IRT only,High,Comparative study (MWP vs conventional),"QC / empirical correlation (strength, density, voids) (+ stiffness)",IRT free-free resonance (Flexural),Frequency domain; analytical (closed-form)
P64,"Karmakar, S and Roy, TK (2020)",UT only,Low,MWP + conventional tests (no formal comparison),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P65,"Chen, L. and Qian, Z. and Zhang, L. (2012)",IRT only,Low,Standalone MWP study,Other / not specified in form,IRT resonance (Flexural),Time + frequency domain; method not reported
P66,"Elhafeez, T.A. and Amer, R. and Saad, A. and Kady, H.E. and Madi, M. (2014)",UT only,Medium,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (S-waves),Time domain; analytical (closed-form)
P67,"Tavassoti-Kheiry, P. and Boz, I. and Solaimanian, M. and Qiu, T. (2018)",IRT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,IRT free-free resonance (Longitudinal),Frequency domain; analytical (closed-form)
P69,"Khazanovich, L. and Velasquez, R. and Nesvijski, E.G. (2005)",UT only,High,Standalone MWP study,Damage / durability monitoring,UT through-transmission,Domain not reported; method not reported
P71,"Grilli, A. and Bocci, M. and Tarantino, A.M. (2013)",UT only,Medium,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization (+ damage),UT (configuration not reported) (P-waves),Time domain; analytical (closed-form)
P72,"Fan, L. and Zheng, J. and Peng, S. and Xun, Z. and Chen, G. (2023)",UT only,Low,Standalone MWP study,"QC / empirical correlation (strength, density, voids)",UT through-transmission (P-waves),Time domain; method not reported
P73,"Arnaud, L. and Houel, A. (2007)",UT only,High,Comparative study (MWP vs conventional),Damage / durability monitoring (+ stiffness),UT (configuration not reported),Domain not reported; method not reported
P75,"Singh, Manpreet and Adhikari, Anuj and Maurya, Manish Kumar and Srivastava, Anshuman and Chhabra, Rishi Singh (2020)",UT only,Low,Standalone MWP study,LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Domain not reported; analytical (closed-form)
P77,"Kia, Alalea and Wong, Hong S and Cheeseman, Christopher R (2022)",UT only,Low,Standalone MWP study,Other / not specified in form,UT through-transmission (P-waves),Time domain; method not reported
P79,"Jiang, Z.-Y. and Ponniah, J. and Cascante, G. (2006)",UT only,Low,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P80,"Baker, Mousa Bani and Abendeh, Raed (2022)",UT only,Low,Standalone MWP study,Damage / durability monitoring,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P81,"Tavassoti, P. and Ameen, T.H. and Baaj, H. and Cascante, G. (2022)",UT only,High,MWP + conventional tests (no formal comparison),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P82,"Al-Mufti, Rafal L. and Fried, Anton N. (2017)",UT only,Low,Comparative study (MWP vs conventional),"QC / empirical correlation (strength, density, voids)",UT through-transmission (P-waves),Time domain; analytical (closed-form)
P83,"Sakhaeifar, Maryam S. and Richard Kim, Y. and Garcia Montano, Blanca E. (2017)",IRT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,IRT free-free resonance (Longitudinal),Frequency domain; analytical (closed-form)
P84,"Grilli, A. and Bocci, E. and Graziani, A. (2013)",UT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Frequency domain; analytical (closed-form)
P85,"Ucak, Kaan and Fromme, Paul and Duffour, Philippe and Chen, Lou and Bai, Yun (2024)",IRT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,IRT resonance (Longitudinal/Flexural/Torsional),Frequency domain; analytical (closed-form)
P87,"Barbieri, DM and Lou, BW (2024)",Neither UT nor IRT,Low,Standalone MWP study,Damage / durability monitoring,No UT/IRT methodology reported,Domain not reported; method not reported
P88,"Kim, Y.Richard and Lee, Yung-Chien (1995)",IRT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,IRT free-free resonance (Longitudinal/Torsional),Frequency domain; analytical (closed-form)
P89,"Boz, I. and Solaimanian, M. (2018)",IRT only,High,Standalone MWP study,LVE stiffness / complex modulus characterization,IRT free-free resonance (Flexural),Frequency domain; analytical (closed-form)
P91,"Daniel, J.S. and Kim, Y.R. (2001)",IRT only,High,Standalone MWP study,Damage / durability monitoring (+ stiffness),IRT free-free resonance (Longitudinal),Frequency domain; analytical (closed-form)
P92,"Biligiri, K.P. and Kaloush, K.E. (2010)",UT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (P-waves),Time domain; analytical (closed-form)
P93,"Arabani, M. and Kheiry, P.T. and Ferdosi, B. (2009)",UT only,Medium,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (S-waves),Time domain; method not reported
P95,"Van Velsor, J.K. and Premkumar, L. and Chehab, G. and Rose, J.L. (2011)",UT only,"Low/Medium (2 reviews, discordant)",Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,UT through-transmission (S-waves),Domain not reported; method not reported | Time + frequency domain; analytical (closed-form)
P96,"Barbosa, E. and Lira, L. and Filho, M.S. and Babadopulos, L. and Soares, J. and Santos, G. and Bastos, J. (2024)",IRT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization,IRT free-free resonance (Longitudinal),Time + frequency domain; numerical inverse (FEM/other)
P97,"Sarsam, S.I. and Kadium, N.S. (2019)",UT only,Low,Standalone MWP study,Other / not specified in form,UT through-transmission (P-waves),Time domain; method not reported
P98,"Karati, Sukanta and Roy, Tapas Kumar (2022)",UT only,High,Comparative study (MWP vs conventional),LVE stiffness / complex modulus characterization (+ damage),UT through-transmission (P-waves),Time domain; analytical (closed-form)
